run_id,match_id,table_size,hand_id,dealer,winner,win_amount,pot_size,end_round,showdown,stacks_after
20260408T102956Z,match_004_baseline_vs_weak_ai,2,31,baseline,baseline,352,352,Showdown,True,"{""baseline"": 176, ""weak_ai"": -176}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,32,weak_ai,baseline,1020,1020,Showdown,True,"{""baseline"": 510, ""weak_ai"": -510}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,33,baseline,weak_ai,440,440,Showdown,True,"{""baseline"": -220, ""weak_ai"": 220}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,34,weak_ai,weak_ai,400,400,Showdown,True,"{""baseline"": -200, ""weak_ai"": 200}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,35,baseline,baseline,420,420,Showdown,True,"{""baseline"": 210, ""weak_ai"": -210}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,36,weak_ai,baseline,340,340,Showdown,True,"{""baseline"": 170, ""weak_ai"": -170}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,37,baseline,weak_ai,1080,1080,Showdown,True,"{""baseline"": -540, ""weak_ai"": 540}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,38,weak_ai,weak_ai,400,400,Showdown,True,"{""baseline"": -200, ""weak_ai"": 200}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,39,baseline,baseline,2000,2000,Showdown,True,"{""baseline"": 1000, ""weak_ai"": -1000}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,40,weak_ai,baseline,2000,2000,Showdown,True,"{""baseline"": 1000, ""weak_ai"": -1000}"
20260408T102956Z,match_005_baseline_vs_weak_ai,2,1,baseline,baseline,340,340,Showdown,True,"{""baseline"": 170, ""weak_ai"": -170}"
20260408T102956Z,match_005_baseline_vs_weak_ai,2,2,weak_ai,weak_ai,100,100,Showdown,True,"{""baseline"": -50, ""weak_ai"": 50}"
20260408T102956Z,match_005_baseline_vs_weak_ai,2,3,baseline,weak_ai,430,430,Showdown,True,"{""baseline"": -215, ""weak_ai"": 215}"
20260408T102956Z,match_005_baseline_vs_weak_ai,2,4,weak_ai,baseline,2000,2000,Showdown,True,"{""baseline"": 1000, ""weak_ai"": -1000}"
